Fecha	Temperatura
24/09/2013	19.0
25/09/2013	19.7
26/09/2013	20.0
27/09/2013	19.6
28/09/2013	19.3
29/09/2013	18.9
30/09/2013	19.5
01/10/2013	20.0
02/10/2013	19.7
03/10/2013	19.7
04/10/2013	19.2
05/10/2013	19.2
06/10/2013	19.7
07/10/2013	20.1
08/10/2013	18.6
09/10/2013	17.9
10/10/2013	17.7
11/10/2013	17.2
12/10/2013	16.7
13/10/2013	16.7
14/10/2013	17.0
15/10/2013	17.2
16/10/2013	18.3
17/10/2013	18.2
18/10/2013	18.8
19/10/2013	18.5
20/10/2013	18.4
21/10/2013	18.4
22/10/2013	18.3
23/10/2013	17.9
24/10/2013	19.0
25/10/2013	19.0
26/10/2013	18.5
27/10/2013	18.5
28/10/2013	18.5
29/10/2013	17.9
30/10/2013	17.5
31/10/2013	
01/11/2013	17.5
02/11/2013	18.0
03/11/2013	17.9
04/11/2013	17.6
05/11/2013	17.7
06/11/2013	18.0
07/11/2013	18.1
08/11/2013	18.1
09/11/2013	17.2
10/11/2013	17.2
11/11/2013	17.0
12/11/2013	17.0
13/11/2013	17.0
14/11/2013	16.9
15/11/2013	16.5
16/11/2013	16.2
17/11/2013	16.1
18/11/2013	15.6
19/11/2013	15.0
20/11/2013	15.0
21/11/2013	14.6
22/11/2013	14.7
23/11/2013	15.0
24/11/2013	15.0
25/11/2013	15.3
26/11/2013	15.1
27/11/2013	15.0
28/11/2013	14.7
29/11/2013	14.5
30/11/2013	14.5
01/12/2013	14.3
02/12/2013	13.9
03/12/2013	13.5
04/12/2013	13.4
05/12/2013	13.5
06/12/2013	13.9
07/12/2013	13.8
08/12/2013	13.2
09/12/2013	12.9
10/12/2013	12.8
11/12/2013	12.7
12/12/2013	12.5
13/12/2013	12.8
14/12/2013	13.1
15/12/2013	13.4
16/12/2013	13.5
17/12/2013	13.5
18/12/2013	13.7
19/12/2013	13.6
20/12/2013	13.5
21/12/2013	13.3
22/12/2013	13.3
23/12/2013	13.4
24/12/2013	13.4
25/12/2013	13.5
26/12/2013	13.2
27/12/2013	13.2
28/12/2013	13.5
29/12/2013	13.0
30/12/2013	12.9
31/12/2013	12.8
01/01/2014	13.3
02/01/2014	13.3
03/01/2014	13.6
04/01/2014	13.4
05/01/2014	13.0
06/01/2014	13.3
07/01/2014	13.4
08/01/2014	13.5
09/01/2014	13.5
10/01/2014	13.3
11/01/2014	13.4
12/01/2014	13.3
13/01/2014	13.1
14/01/2014	13.1
15/01/2014	13.2
16/01/2014	13.2
17/01/2014	12.9
18/01/2014	12.8
19/01/2014	12.7
20/01/2014	12.2
21/01/2014	12.1
22/01/2014	12.3
23/01/2014	12.3
24/01/2014	12.4
25/01/2014	12.5
26/01/2014	12.7
27/01/2014	12.6
28/01/2014	12.2
29/01/2014	12.3
30/01/2014	12.1
31/01/2014	11.9
01/02/2014	12.3
02/02/2014	11.9
03/02/2014	12.1
04/02/2014	12.0
05/02/2014	12.2
06/02/2014	12.4
07/02/2014	12.6
08/02/2014	12.4
09/02/2014	12.2
10/02/2014	11.9
11/02/2014	12.1
12/02/2014	12.0
13/02/2014	12.2
14/02/2014	12.4
15/02/2014	12.7
16/02/2014	12.4
17/02/2014	12.3
18/02/2014	12.3
19/02/2014	12.3
20/02/2014	12.5
21/02/2014	12.4
22/02/2014	12.3
23/02/2014	12.4
24/02/2014	12.5
25/02/2014	12.6
26/02/2014	12.2
27/02/2014	12.2
28/02/2014	12.4
01/03/2014	12.1
02/03/2014	12.2
03/03/2014	12.1
04/03/2014	12.0
05/03/2014	12.2
06/03/2014	12.4
07/03/2014	12.3
08/03/2014	12.4
09/03/2014	12.7
10/03/2014	12.8
11/03/2014	13.0
12/03/2014	13.1
13/03/2014	13.3
14/03/2014	13.4
15/03/2014	13.4
16/03/2014	13.2
17/03/2014	13.4
18/03/2014	13.4
19/03/2014	13.1
20/03/2014	13.1
21/03/2014	13.3
22/03/2014	13.2
23/03/2014	12.6
24/03/2014	12.5
25/03/2014	12.6
26/03/2014	12.3
27/03/2014	12.3
28/03/2014	12.5
29/03/2014	12.8
30/03/2014	12.9
31/03/2014	13.0
01/04/2014	13.1
02/04/2014	13.2
03/04/2014	13.3
04/04/2014	13.1
05/04/2014	13.2
06/04/2014	13.5
07/04/2014	14.0
08/04/2014	14.5
09/04/2014	14.3
10/04/2014	13.3
11/04/2014	13.4
12/04/2014	13.2
13/04/2014	13.2
14/04/2014	13.5
15/04/2014	13.4
16/04/2014	13.2
17/04/2014	13.5
18/04/2014	13.9
19/04/2014	14.1
20/04/2014	14.3
21/04/2014	14.2
22/04/2014	14.7
23/04/2014	15.0
24/04/2014	15.0
25/04/2014	15.0
26/04/2014	14.8
27/04/2014	
28/04/2014	
29/04/2014	14.4
30/04/2014	14.7
01/05/2014	15.2
02/05/2014	15.3
03/05/2014	15.1
04/05/2014	15.1
05/05/2014	14.7
06/05/2014	15.2
07/05/2014	15.4
08/05/2014	15.6
09/05/2014	15.8
10/05/2014	16.1
11/05/2014	16.3
12/05/2014	16.1
13/05/2014	15.8
14/05/2014	16.5
15/05/2014	16.5
16/05/2014	15.4
17/05/2014	14.6
18/05/2014	15.0
19/05/2014	15.1
20/05/2014	16.1
21/05/2014	16.5
22/05/2014	15.0
23/05/2014	14.9
24/05/2014	15.3
25/05/2014	15.6
26/05/2014	15.5
27/05/2014	15.7
28/05/2014	15.3
29/05/2014	15.2
30/05/2014	15.4
31/05/2014	16.1
01/06/2014	16.3
02/06/2014	16.5
03/06/2014	16.7
04/06/2014	17.1
05/06/2014	16.5
06/06/2014	16.7
07/06/2014	16.5
08/06/2014	17.3
09/06/2014	17.6
10/06/2014	17.9
11/06/2014	17.6
12/06/2014	17.3
13/06/2014	17.8
14/06/2014	18.5
15/06/2014	19.1
16/06/2014	19.1
17/06/2014	19.1
18/06/2014	18.5
19/06/2014	17.8
20/06/2014	16.9
21/06/2014	17.3
22/06/2014	17.9
23/06/2014	18.4
24/06/2014	19.2
25/06/2014	19.3
26/06/2014	19.7
27/06/2014	19.8
28/06/2014	19.4
29/06/2014	18.9
30/06/2014	19.4
01/07/2014	19.7
02/07/2014	19.7
03/07/2014	19.6
04/07/2014	20.1
05/07/2014	20.8
06/07/2014	20.7
07/07/2014	19.1
08/07/2014	19.3
09/07/2014	19.2
10/07/2014	19.4
11/07/2014	20.7
12/07/2014	20.1
13/07/2014	20.1
14/07/2014	20.8
15/07/2014	20.9
16/07/2014	21.0
17/07/2014	20.4
18/07/2014	21.5
19/07/2014	20.7
20/07/2014	20.8
21/07/2014	21.3
22/07/2014	21.5
23/07/2014	20.6
24/07/2014	19.6
25/07/2014	20.3
26/07/2014	21.0
27/07/2014	21.2
28/07/2014	21.2
29/07/2014	21.4
30/07/2014	21.6
31/07/2014	22.3
01/08/2014	21.4
02/08/2014	22.1
03/08/2014	21.1
04/08/2014	21.2
05/08/2014	20.9
06/08/2014	21.0
07/08/2014	21.4
08/08/2014	21.6
09/08/2014	21.9
10/08/2014	22.2
11/08/2014	22.0
12/08/2014	21.5
13/08/2014	21.6
14/08/2014	20.5
15/08/2014	20.7
16/08/2014	20.9
17/08/2014	21.2
18/08/2014	21.1
19/08/2014	20.5
20/08/2014	20.2
21/08/2014	19.7
22/08/2014	19.2
23/08/2014	19.3
24/08/2014	19.9
25/08/2014	19.5
26/08/2014	20.1
27/08/2014	20.0
28/08/2014	20.4
29/08/2014	20.8
30/08/2014	21.2
31/08/2014	19.6
01/09/2014	18.8
02/09/2014	17.2
03/09/2014	15.7
04/09/2014	15.3
05/09/2014	17.0
06/09/2014	18.3
07/09/2014	18.9
08/09/2014	18.6
09/09/2014	19.2
10/09/2014	19.1
11/09/2014	18.0
12/09/2014	20.1
13/09/2014	19.4
14/09/2014	18.5
15/09/2014	18.6
16/09/2014	19.1
17/09/2014	18.4
18/09/2014	18.0
19/09/2014	18.5
20/09/2014	18.4
21/09/2014	19.2
22/09/2014	20.0
23/09/2014	19.0
24/09/2014	18.5
25/09/2014	18.6
26/09/2014	19.5
27/09/2014	19.0
28/09/2014	18.6
29/09/2014	18.6
30/09/2014	19.1
01/10/2014	19.6
02/10/2014	18.9
03/10/2014	17.6
04/10/2014	17.5
05/10/2014	17.6
06/10/2014	17.9
07/10/2014	17.8
08/10/2014	18.0
09/10/2014	17.8
10/10/2014	17.7
11/10/2014	17.6
12/10/2014	17.6
13/10/2014	17.7
14/10/2014	19.6
15/10/2014	19.8
16/10/2014	19.8
17/10/2014	20.2
18/10/2014	20.4
19/10/2014	20.4
20/10/2014	20.6
21/10/2014	20.7
22/10/2014	20.6
23/10/2014	20.0
24/10/2014	19.7
